lon,lat,nombre
-74.08079,-12.79138,Occoro Espincuy
-77.06294,-10.37827,San Jeronimo de Copa
-71.75792,-14.00014,Taucabamba
-77.57346,-7.91688,Señor de los Desamparados
-75.44208,-13.76229,San Jose de Tambillos
-70.38807,-14.52046,Huanaco Mayo
-76.18313,-11.87611,San Antonio
-71.85154,-13.6377,Araycalla - Anyarate
-75.86618,-12.62165,Pampas
-77.86051,-9.81256,Ayllu Auquimarca de Quisuar
-77.82768,-8.16912,Pampas
-74.23498,-14.82538,San Cristobal
-75.92838,-12.91589,San Cristobal de Chocos
-76.22452,-11.82181,San Jose de Parac
-71.31556,-14.78428,Chani Kanamarca
-76.51426,-12.10769,Villa Pampilla
-72.02584,-13.4326,Ayllo Pongo
-69.63995,-16.03801,Cangalli  Achatuyo
-77.59421,-7.77761,Leoncio Prado
-77.56796,-9.2739,Copa Chico
-70.1847,-15.69473,San Jose de Llungo
-70.84056,-14.91889,Corani
-73.85693,-13.76682,Curipaco
-74.26313,-13.33458,Toccyascca
-71.82751,-13.75779,Sutec
-74.83515,-12.55202,Naranjal
-77.0643,-10.92212,San Miguel de Huaca
-76.49336,-10.03789,Cochas
-74.31464,-13.2832,Sallalli
-70.31328,-15.09678,Torkopi Pampa
-71.53411,-13.39971,Humamarca
-76.77294,-9.84296,Progreso
-74.21513,-13.56917,San Juan de Churrupallana
-76.80835,-11.31594,San Salvador de Pampas
-76.70015,-12.05771,Santa Rosa de Chontay
-78.15259,-7.58848,Chorobamba
-72.88,-15.13309,Huampo Secsincaylla
-76.64089,-9.72885,Chupán
-74.99234,-12.56369,Muque
-77.40034,-8.89321,La Libertad
-71.65901,-14.38693,Huanaco
-75.29187,-12.91575,Yauricocha
-69.71882,-14.89762,Tupac Amaru de Quilca
-69.09093,-16.35836,Ccalacoto
-72.05965,-14.30732,Curpire
-72.16264,-13.48576,Yungaqui
-71.30197,-14.95321,Huisa
-76.36145,-11.63846,Santiago de Carampoma
-74.32484,-13.17605,La Merced de Loyanta
-72.16096,-13.44743,Chacacurqui
-75.46413,-11.91232,Llacuari
